,name,date,Unnamed: 2,Open,High,Low,Close,Unnamed: 7
0,BHP,11-02-2011, ,93.11,94.26,92.9,93.72,0.0
1,BHP,14-02-2011, ,94.57,96.23,94.39,95.64,0.0
2,BHP,15-02-2011, ,94.45,95.47,93.91,94.56,0.0
3,BHP,16-02-2011, ,92.67,93.58,92.56,93.3,0.0
4,BHP,17-02-2011, ,92.65,93.98,92.58,93.93,0.0
5,BHP,18-02-2011, ,92.34,93.0,92.0,92.39,0.0
6,BHP,22-02-2011, ,91.91297619163522,93.98,91.75,92.11,0.0
7,BHP,23-02-2011, ,91.93,92.46,91.05,92.36,0.0
8,BHP,24-02-2011, ,92.42,92.71,90.93,91.76,0.0
9,BHP,25-02-2011, ,93.48,94.04,92.44,93.91,0.0
10,BHP,28-02-2011, ,94.81,95.11,94.1,94.6,0.0
11,BHP,01-03-2011, ,95.05,95.2,93.13,93.27,0.0
12,BHP,02-03-2011, ,93.89,94.89,93.54,94.43,0.0
